"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Plasmodium sp. DRC-Itaito (GCA_900257145.1)","Alveolata","720590","Plasmodium_billcollinsi","GCA_900257145.1","-","-","-","-","-","-"
"","Plasmodium sp. gorilla clade G2 (GCA_900097015.1)","Alveolata","880535","PADLG01","GCA_900097015.1","-","-","-","-","","-"
"","Plasmodium vinckei petteri str. CR (GCA_000524515.1)","Alveolata","138298","Plas_vinc_pett_CR_V1","GCA_000524515.1","-","-","-","-","","-"
"","Plasmodium vinckei vinckei (GCA_000709005.1)","Alveolata","54757","Plas_vinc_vinckei_V1","GCA_000709005.1","-","-","-","-","-","-"
"","Plasmodium vivax","Alveolata","5855","ASM241v2","GCA_000002415.2","-","-","-","","","-"
"","Plasmodium vivax (GCA_900093555.1)","Alveolata","5855","PvP01","GCA_900093555.1","-","-","-","-","-","-"
"","Plasmodium vivax Brazil I (GCA_000320645.2)","Alveolata","1033975","PV_Brazil_I_V1","GCA_000320645.2","-","-","-","-","-","-"
"","Plasmodium vivax India VII (GCA_000320625.2)","Alveolata","1077284","PV_India_VII_V2","GCA_000320625.2","-","-","-","-","-","-"
"","Plasmodium vivax Mauritania I (GCA_000320665.2)","Alveolata","1035515","PV_Mauritania_I_V1","GCA_000320665.2","-","-","-","-","-","-"
"","Plasmodium vivax North Korean (GCA_000320685.2)","Alveolata","1035514","PV_N_Korean_V1","GCA_000320685.2","-","-","-","-","-","-"
"","Plasmodium yoelii 17X (GCA_000505035.1)","Alveolata","1323249","Plas_yoel_17X_V2","GCA_000505035.1","-","-","-","-","-","-"
"","Plasmodium yoelii str. 17X (GCA_900002385.1)","Alveolata","5861","PY17X01","GCA_900002385.1","-","-","-","-","-","-"
"","Plasmodium yoelii str. YM (GCA_900002395.1)","Alveolata","5861","PYYM01","GCA_900002395.1","-","-","-","-","-","-"
"","Plasmodium yoelii yoelii str. 17XNL (GCA_000003085.2)","Alveolata","73239","ASM308v2","GCA_000003085.2","-","-","-","-","","-"
"","Plasmopara halstedii (GCA_900000015.1)","Stramenopiles","4781","Plasmopara_halstedii_genome","GCA_900000015.1","-","-","-","-","","-"
"","Pseudo-nitzschia multistriata","Stramenopiles","183589","ASM90066040v1","GCA_900660405.1","-","-","-","-","","-"
"","Pseudocohnilembus persalinus (GCA_001447515.1)","Alveolata","266149","ASM144751v1","GCA_001447515.1","-","-","-","-","","-"
"","Pythium aphanidermatum","Stramenopiles","1223555","pag1_scaffolds_v1","GCA_000387445.2","-","-","","","","-"
"","Pythium arrhenomanes","Stramenopiles","1223556","par_scaffolds_v1","GCA_000387505.2","-","-","","","","-"
"","Pythium irregulare","Stramenopiles","1223557","pir_scaffolds_v1","GCA_000387425.2","-","-","","","","-"
"","Pythium iwayamai","Stramenopiles","1223558","piw_scaffolds_v1","GCA_000387465.2","-","-","","","","-"
"","Pythium ultimum","Stramenopiles","431595","pug","GCA_000143045.1","-","-","","","","-"
"","Pythium vexans","Stramenopiles","1223560","pve_scaffolds_v1","GCA_000387545.2","-","-","","","","-"
"","Reticulomyxa filosa (GCA_000512085.1)","Rhizaria","46433","Reti_assembly1.0","GCA_000512085.1","-","-","-","-","","-"
"","Salpingoeca rosetta str. ATCC 50818 (GCA_000188695.1)","Eukaryota","946362","Proterospongia_sp_ATCC50818","GCA_000188695.1","-","-","-","-","","-"
"","Saprolegnia diclina VS20 (GCA_000281045.1)","Stramenopiles","1156394","Sap_diclina_VS20_V1","GCA_000281045.1","-","-","-","-","","-"
"","Saprolegnia parasitica CBS 223.65 (GCA_000151545.2)","Stramenopiles","695850","ASM15154v2","GCA_000151545.2","-","-","-","-","","-"
"","Sphaeroforma arctica JP610 (GCA_001186125.1)","Eukaryota","667725","Spha_arctica_JP610_V1","GCA_001186125.1","-","-","-","-","","-"
"","Spironucleus salmonicida (GCA_000497125.1)","Fornicata","348837","SSK3.0","GCA_000497125.1","-","-","-","-","","-"
"","Stentor coeruleus (GCA_001970955.1)","Alveolata","5963","ASM197095v1","GCA_001970955.1","-","-","-","-","","-"
"","Strigomonas culicis (GCA_000442495.1)","Eukaryota","28005","Strigomonas_culicis_Genome","GCA_000442495.1","-","-","-","-","","-"
"","Stylonychia lemnae str. 130c (GCA_000751175.1)","Alveolata","5949","Stylonychia_lemnae_asm_v1.0","GCA_000751175.1","-","-","-","-","","-"
"","Symbiodinium microadriaticum str. CCMP2467 (GCA_001939145.1)","Alveolata","2951","ASM193914v1","GCA_001939145.1","-","-","-","-","","-"
"","Tetrahymena thermophila","Alveolata","312017","JCVI-TTA1-2.2","GCA_000189635.1","-","-","","","",""
